PM10;2019;2020
Belgium;27,438;25,513
Bulgaria;44,091;44,525
Czechia;40,567;37,402
Denmark;23,350;22,412
Germany;195,887;182,126
Estonia;11,780;12,664
Ireland;30,461;30,287
Greece;58,434;56,342
Spain;211,498;211,698
France;277,876;247,518
Croatia;34,723;51,409
Italy;214,519;219,537
Cyprus;1,958;1,765
Latvia;27,999;26,298
Lithuania;26,538;27,554
Luxembourg;1,845;1,672
Hungary;57,641;53,542
Malta;1,465;1,641
Netherlands;29,507;27,652
Austria;27,788;26,788
Poland;420,726;395,660
Portugal;58,435;56,956
Romania;150,993;149,066
Slovenia;13,300;13,044
Slovakia;24,098;24,024
Finland;29,618;26,569
Sweden;36,755;35,267
Iceland;2,254;2,034
Liechtenstein;35;32
Norway;33,585;34,127
Switzerland;14,197;13,592
Türkiye;290,163;315,565
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
