PM2.5;2019;2020
Belgium;18,248;16,583
Bulgaria;29,519;31,359
Czechia;27,315;24,959
Denmark;12,804;11,983
Germany;90,213;81,464
Estonia;5,076;5,135
Ireland;12,588;12,649
Greece;36,117;34,073
Spain;129,891;133,355
France;195,261;171,792
Croatia;27,020;28,496
Italy;150,714;143,808
Cyprus;1,022;906
Latvia;18,496;16,852
Lithuania;7,720;7,299
Luxembourg;1,216;1,129
Hungary;38,293;36,913
Malta;397;378
Netherlands;16,156;14,912
Austria;14,010;13,347
Poland;324,178;306,594
Portugal;46,377;44,372
Romania;110,513;109,597
Slovenia;10,628;10,086
Slovakia;17,775;17,337
Finland;16,214;14,066
Sweden;17,531;16,847
Iceland;1,217;1,003
Norway;23,390;24,368
Switzerland;6,202;5,907
Turkiye;225,565;244,346
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
