TIME;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);18.400;19.200;19.900;20.300;21.200;22.000;23.200;24.600;25.300;24.100;24.900;25.700;25.800;26.000;26.600;27.500;28.200;29.300;30.300;31.300;30.000;32.500;35.200
European Union - 28 countries (2013-2020);18.800;19.700;20.400;20.900;21.800;22.600;23.800;25.000;25.700;24.400;25.300;25.900;26.100;26.400;27.000;27.900;28.500;29.600;30.500;31.500;30.000;:;:
European Union - 27 countries (2007-2013);18.900;19.800;20.400;21.000;21.900;22.700;23.800;25.100;25.800;24.400;25.300;26.000;26.200;26.500;27.100;28.000;28.600;29.700;30.600;31.600;30.100;:;:
Euro area – 20 countries (from 2023);20.900;21.800;22.500;22.900;23.700;24.600;25.800;27.100;27.700;26.200;27.000;27.700;27.700;28.000;28.500;29.400;30.200;31.200;32.100;33.100;31.500;33.900;36.600
Euro area - 19 countries  (2015-2022);21.100;22.000;22.600;23.100;23.800;24.700;26.000;27.300;27.800;26.400;27.200;27.900;27.900;28.200;28.700;29.600;30.300;31.400;32.300;33.200;31.600;34.000;36.700
Belgium;23.100;23.800;24.800;25.400;26.200;27.200;28.000;29.000;29.400;28.500;30.100;30.500;31.200;31.500;32.200;33.200;33.800;34.600;35.600;36.800;35.700;39.000;42.200
Bulgaria;5.300;5.800;6.400;6.900;7.500;8.300;9.000;10.000;10.900;10.500;11.100;11.700;12.100;12.000;12.600;13.200;13.900;14.700;15.600;16.600;16.600;18.600;20.700
Czechia;13.500;14.600;15.000;16.000;17.100;18.100;19.000;20.700;21.600;20.900;21.000;21.600;21.600;22.200;23.300;24.400;25.100;26.700;27.900;29.200;28.000;29.700;32.000
Denmark;23.800;24.400;25.100;25.300;26.900;28.000;29.700;30.800;32.000;30.500;32.500;33.100;33.100;33.700;34.300;35.300;36.100;38.000;39.000;39.500;39.900;43.000;48.100
Germany;22.800;23.700;24.200;24.800;25.900;26.400;27.600;29.100;29.800;28.300;30.000;31.700;32.000;32.500;33.700;34.200;35.100;36.500;37.400;37.900;37.000;39.000;41.200
Estonia;7.800;8.500;9.500;10.700;11.800;13.600;15.300;17.500;17.700;15.400;16.300;18.300;19.200;19.800;20.700;21.000;21.700;23.300;24.700;25.800;25.800;28.800;30.700
Ireland;25.100;27.000;28.900;29.800;31.700;33.100;35.200;36.900;34.200;31.300;32.700;33.600;34.300;34.600;36.700;49.700;49.800;53.600;57.500;59.300;61.600;70.800;82.100
Greece;16.200;17.300;18.500;19.600;20.800;20.900;22.700;23.100;23.900;22.900;21.100;19.100;18.400;18.800;19.100;19.200;19.100;19.600;20.100;20.600;18.600;20.700;23.900
Spain;17.900;19.000;20.000;20.600;21.400;22.600;24.400;25.600;25.800;24.200;24.000;23.700;23.400;23.400;24.000;25.100;25.900;27.200;27.600;28.500;24.900;27.000;29.800
France;21.700;22.800;23.400;23.100;23.700;25.000;25.800;26.900;27.200;26.200;27.200;27.900;27.800;28.500;28.800;29.400;29.800;30.500;31.400;33.100;31.400;33.800;35.800
Croatia;8.900;9.600;10.500;11.200;12.000;12.700;14.000;15.400;16.300;15.300;15.200;15.700;15.800;16.000;16.000;16.800;17.600;18.700;19.600;20.800;19.500;22.600;25.700
Italy;22.500;23.200;23.500;23.900;24.100;24.600;25.700;26.800;27.400;25.900;26.400;27.000;26.600;26.200;26.100;26.700;28.000;28.800;29.400;30.200;28.300;30.900;33.700
Cyprus;17.700;18.900;19.300;19.900;21.200;22.700;23.900;26.000;27.000;25.600;25.400;24.900;23.600;22.000;21.600;22.900;24.900;26.400;27.600;29.100;27.100;29.400;32.300
Latvia;6.700;7.500;8.300;9.100;10.000;11.400;12.600;14.400;15.200;12.900;13.400;14.300;15.700;16.300;17.100;18.000;18.600;19.700;20.900;21.700;21.600;23.300;25.900
Lithuania;7.000;7.800;8.600;9.900;10.600;11.900;13.100;15.100;16.100;13.700;15.200;17.100;18.200;19.300;20.200;20.700;21.500;23.200;24.700;26.400;26.300;29.000;31.500
Luxembourg;45.700;46.400;48.000;49.300;52.800;56.300;62.700;67.100;70.500;65.500;68.300;70.200;71.300;72.600;75.200;77.600;78.500;78.900;78.900;78.700;78.500;87.000;91.900
Hungary;9.800;10.900;11.900;12.700;13.300;14.000;14.600;15.100;16.100;15.600;16.500;17.200;17.200;17.700;18.400;19.300;19.400;20.300;21.600;22.900;22.400;24.400;27.300
Malta;15.300;15.300;16.100;17.200;17.600;18.300;18.500;19.800;20.600;20.100;21.700;21.600;22.300;23.300;24.600;26.900;27.600;29.800;30.900;32.400;29.400;33.100;36.000
Netherlands;26.500;27.500;28.200;28.000;29.300;30.800;32.600;34.700;36.000;33.600;34.100;34.700;34.900;35.500;35.300;36.200;36.300;37.800;39.200;39.700;39.200;42.000;45.300
Austria;24.400;24.600;25.600;26.400;27.600;28.700;29.900;31.100;32.100;30.900;31.800;33.100;34.300;34.600;35.000;35.900;36.600;37.200;38.600;39.400;37.500;39.800;44.100
Poland;8.900;9.200;9.700;10.100;10.900;11.400;12.000;13.300;14.200;14.400;15.600;16.700;17.200;17.300;17.900;19.000;19.300;20.300;21.500;22.800;22.900;25.100;28.000
Portugal;15.700;16.200;16.700;17.100;17.500;18.600;19.600;20.300;20.700;20.000;20.600;19.900;19.500;20.200;20.600;21.300;22.000;22.700;23.700;24.600;22.900;24.400;27.200
Romania;4.900;5.300;5.900;6.200;7.300;7.900;9.200;10.800;13.000;12.600;13.100;14.000;14.600;14.200;14.800;15.500;16.600;18.500;20.000;21.800;21.800;24.000;27.100
Slovenia;14.900;15.700;16.600;17.300;18.600;19.500;20.400;21.800;23.000;20.800;21.100;21.600;21.400;21.600;22.100;22.700;23.600;25.100;26.500;27.800;26.800;29.200;32.500
Slovakia;9.400;10.300;10.900;11.600;12.400;13.600;15.000;16.700;18.300;17.300;19.100;19.600;19.900;20.200;20.800;21.600;20.700;20.700;21.300;22.100;21.600;22.900;24.100
Finland;22.200;23.000;23.400;23.800;25.500;26.200;27.400;29.900;31.100;28.700;29.500;30.500;30.200;29.900;29.900;30.500;31.200;32.700;33.600;34.200;34.300;36.300;38.400
Sweden;24.600;24.800;25.300;26.100;27.700;28.000;30.000;32.300;32.700;30.400;32.000;33.200;33.500;33.400;33.800;35.300;35.000;35.700;36.300;37.200;36.800;40.000;42.300
Iceland;24.700;26.400;26.700;26.900;29.000;30.600;31.500;32.800;33.700;31.500;30.100;30.500;31.000;32.000;33.000;35.400;37.200;38.200;38.800;39.300;35.600;38.600;44.900
Norway;30.700;31.300;31.200;31.800;34.900;39.300;43.200;44.300;48.200;42.000;44.100;46.500;48.600;48.600;47.500;43.700;41.200;44.400;47.600;46.100;42.700;54.300;74.800
Switzerland;30.200;31.000;31.500;31.600;32.600;33.800;36.500;39.900;41.500;39.800;41.100;42.800;43.900;44.500;45.400;46.900;46.800;46.800;47.900;47.900;46.400;50.400;54.300
United Kingdom;22.000;23.100;23.800;24.900;26.200;26.800;27.600;28.100;28.500;26.500;27.700;27.800;28.300;28.900;29.600;30.600;30.700;31.700;32.000;32.500;30.000;32.900;35.100
Bosnia and Herzegovina;:;:;:;:;:;5.600;6.300;6.900;7.400;7.200;7.400;7.700;7.800;8.000;8.100;8.500;8.900;9.200;9.800;10.200;9.900;11.100;12.500
Montenegro;:;:;:;:;:;:;8.300;9.800;10.700;9.800;10.300;10.800;10.200;10.700;11.000;11.700;12.600;13.500;14.600;15.700;13.400;15.500;17.500
