Data extracted on 17/10/2023 20:46:16 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Air pollutants by source sector (source: EEA) [env_air_emis__custom_7897884];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;11/07/2023 11:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Tonne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;TIME;2012;2012;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014;2014;2014;2015;2015;2015;2015;2015;2015;2015;2016;2016;2016;2016;2016;2016;2016;2017;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2021
AIRPOL (Labels);AIRPOL (Labels);Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm
GEO (Labels);SRC_NFR (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);Transport (fuel used);:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
European Union - 27 countries (from 2020);International aviation LTO (civil);56.351;2;42.490;2.709;107;1.442;1.497;55.117;2;42.579;2.688;105;1.376;1.430;57.785;2;44.530;2.796;107;1.456;1.511;60.390;2;46.885;2.913;112;1.550;1.606;66.751;2;50.089;3.061;116;1.667;1.725;71.582;2;53.255;3.172;119;1.823;1.882;76.460;1;56.435;3.359;122;1.933;1.993;75.330;2;58.326;3.478;126;1.977;2.038;36.669;1;24.064;1.371;55;756;783;43.474;1;29.166;1.649;60;925;958
European Union - 27 countries (from 2020);International aviation cruise (civil);255.814;12;377.814;23.051;1.255;4.635;4.622;238.728;11;383.021;23.194;1.284;4.600;4.587;253.167;9;395.606;23.680;1.230;4.647;4.633;264.418;10;405.952;24.503;1.220;4.774;4.758;317.341;9;436.465;25.762;1.325;5.056;5.039;343.843;9;471.863;27.642;1.469;5.467;5.447;332.507;9;502.010;29.348;1.513;5.826;5.804;309.756;9;515.486;30.166;1.493;5.955;5.932;202.558;5;214.829;12.421;690;2.393;2.383;244.730;6;260.234;15.075;926;3.100;3.088
European Union - 27 countries (from 2020);Domestic aviation LTO (civil);30.522;11;12.495;872;32;532;547;29.457;11;11.291;792;29;477;492;27.703;10;11.222;790;29;476;490;30.147;10;11.436;795;30;499;513;32.563;9;12.087;823;31;588;603;31.759;9;12.456;830;30;640;654;31.097;9;12.792;858;31;651;665;28.273;8;12.822;865;32;636;650;20.178;7;6.370;430;15;348;356;20.897;8;7.953;530;13;439;449
European Union - 27 countries (from 2020);Domestic aviation cruise (civil);43.447;22;44.788;2.811;83;402;402;41.175;20;40.942;2.595;75;359;359;38.262;19;40.514;2.557;76;355;355;41.345;19;40.803;2.554;79;361;361;43.486;18;42.488;2.639;79;368;367;43.710;18;43.436;2.689;76;379;379;42.019;18;44.628;2.778;77;405;405;33.058;18;45.645;2.827;81;406;406;21.873;14;23.525;1.468;38;225;225;24.020;16;28.214;1.824;26;273;273
European Union - 27 countries (from 2020);Road transport: passenger cars;3.396.214;25;1.315.675;2.407;54.372;51.969;51.970;3.145.673;31;1.311.861;2.428;50.545;48.542;48.543;3.037.322;31;1.349.958;2.465;47.692;44.642;44.643;2.907.325;20;1.360.788;2.435;45.842;42.553;42.553;2.827.024;20;1.361.103;2.562;44.397;40.214;40.215;2.786.017;20;1.342.922;2.602;43.229;38.083;38.083;2.522.170;21;1.265.372;2.588;41.298;34.075;34.075;2.475.335;29;1.196.538;2.593;40.262;31.730;31.730;1.999.481;24;952.065;2.212;33.473;25.038;25.038;2.106.601;26;980.761;2.360;35.125;25.587;25.587
European Union - 27 countries (from 2020);Road transport: light duty vehicles;417.239;2;393.962;491;1.833;24.733;24.733;371.116;2;383.715;471;1.690;21.431;21.431;377.161;2;399.160;470;1.528;18.855;18.855;360.969;1;408.983;468;1.543;17.283;17.283;348.419;1;421.547;483;1.475;15.854;15.854;347.550;2;426.486;486;1.582;14.609;14.609;262.960;2;418.932;495;1.650;12.972;12.972;255.202;2;408.453;497;1.743;11.544;11.544;214.071;1;353.287;452;1.682;9.223;9.223;230.807;1;371.409;506;2.006;9.703;9.703
