TIME;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
European Union - 27 countries (from 2020);11516038,9;11782469,9;12215676,8;12548225,2;13075598;13534230,1;14019590,6;13469533,3;14582979,6;15844247,7
European Union - 28 countries (2013-2020);13612376,9;14093550,2;14860393,2;14982344,4;15435387,9;15955127,4;16546205,8;:;:;:
European Union - 15 countries (1995-2004);12519229,6;12965036,9;13667382,6;13763036,3;14106517;14522983,5;15012133;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);9878140,9;10133262,6;10523622,5;10816813,4;11224918;11600154,4;11987140,7;11465225,6;12359895,3;13360337,4
Euro area – 20 countries (from 2023);9980408,8;10213833;10568880,5;10864152,1;11274903,9;11652901,6;12042785,1;11515676,5;12418186,3;13427276,4
Euro area - 19 countries  (2015-2022);9935971,7;10169843,9;10523622,5;10816813,4;11224918;11600154,4;11987140,7;11465225,6;12359895,3;13360337,4
Euro area - 12 countries (2001-2006);9722298,3;9949365,8;10294153,8;10579540,9;10971893,4;11329084,4;11699122;11181964,2;12047042,6;13007564,1
Belgium;392880;403003,3;416701,4;430085,3;445050,1;460050,8;478676,1;459827,4;502521,1;549456,2
Bulgaria;42050,2;43026;45812,3;48773,1;52531,3;56224,8;61558,5;61638,9;71077;84560,6
Czechia;159461,5;157821,3;169558,2;177438,5;194132,9;210970,5;225613,5;215805,4;238249,5;276229,4
Denmark;258742,7;265757;273017,6;283109,7;294808,2;302328,7;309526,4;311356,3;342961,7;380617,8
Germany;2811350;2927430;3026180;3134740;3267160;3365450;3474110;3403730;3617450;3876810
Estonia;18910,8;20048,2;20631,4;21747,9;23833,6;25932,2;27951;27430;31169;36011,1
Ireland;179285,6;195469,9;263506,8;269724,8;298528,3;327441,4;356357,4;375249,6;434069,7;506282,4
Greece;179884,4;177236;176368,9;174494,2;176903,4;179557,7;183351,2;165405,9;181674,6;208030,2
Spain;1020677;1032608;1078092;1114420;1162492;1203859;1245513;1119010;1222290;1346377
France;2117189;2149765;2198432;2234129;2297242;2363306;2437635;2317832;2502118;2639092
Croatia;44437,1;43989,1;45257,9;47338,7;49985,9;52747,2;55644,4;50450,9;58290,9;66939
Italy;1612751,3;1627405,6;1655355;1695786,8;1736592,8;1771391,2;1796648,5;1661239,8;1822344,5;1946479,1
Cyprus;18040,3;17482,8;17944,2;19013,8;20312,4;21675,1;23177,9;22086,6;24927,6;27777
Latvia;22791,3;23625,8;24572,1;25371,3;26984,4;29153,6;30572,9;30109,5;33348,9;38870
Lithuania;35039,5;36581,3;37345,7;38889,9;42276,3;45515,2;48959,2;49873,2;56478,1;67399,1
Luxembourg;49094,5;51791,3;54142,3;56208,1;58168,8;60121,2;62431,5;64524,3;72360,9;77529
Hungary;102239,7;106263,8;112791;116255,7;127024,7;136055,4;146554,5;137866;153963,3;168865
Malta;7944,3;8751,1;9996,7;10541,1;11936,6;13044;14285,6;13353,8;15292,6;17212,5
Netherlands;660463;671560;690008;708337;738146;773987;813055;796530;870587;958549
Austria;323910,2;333146,1;344269,2;357608;369361,9;385274,1;397147,2;380888,5;405241,4;447217,6
Poland;388356,4;406412,5;429834,6;424735,3;465772,6;499004,1;532504,7;526147,2;576382,6;654594,4
Portugal;170492,3;173053,7;179713,2;186489,8;195947,2;205184,1;214374,6;200518,9;216053,2;242340,8
Romania;142928,9;150522,4;160287,8;167494,3;186399;206071,9;224178,6;220486,6;241611,3;285884,8
Slovenia;36454,3;37634,3;38852,6;40443,2;43011,3;45876,3;48582,3;47044,9;52278,8;57037,7
Slovakia;74492,8;76354,5;80126;81265,2;84669,9;89874,7;94429,7;93444,1;100255,7;109645,2
Finland;204321;206897;211385;217518;226301;233462;239858;238038;250923;268645
Sweden;441850,7;438833,9;455494,7;466266,5;480025,5;470673,1;476869,5;480556,4;540734;562526,3
Iceland;12132,9;13472,6;15795,3;18804,2;21917,7;22238,3;22043,3;18891,7;21647,7;26691,3
Liechtenstein;4812,4;5021,7;5649,1;5637,7;5734,6;5666,3;5750,1;5617,9;6075,3;:
Norway;395856,8;378456,4;349756,7;335396,5;356288,5;372657,6;365130,5;322823,8;414394,9;551408,9
Switzerland;531729,1;548014,5;625532,7;621765,1;615776,3;614304,4;644443,2;650742,6;687568,4;777804,6
United Kingdom;2096338;2311080,2;2644716,5;2434119,2;2359789,9;2420897,2;2526615,2;:;:;:
Bosnia and Herzegovina;13691,8;13988,3;14791,1;15474,3;16260,5;17354,2;18296,5;17755,9;19995,1;23317,3
Montenegro;3362,5;3457,9;3654,5;3954,2;4299,1;4663,1;4950,7;4185,6;4955,1;5924
North Macedonia;8149,6;8562;9072,3;9656,5;10038,3;10744;11262;10851,7;11688,2;12897,8
Albania;9625,4;9968,6;10264,1;10719,9;11559;12828,1;13754,2;13310,4;15157,4;17939,7
Serbia;36426,7;35467,5;35740,2;36779,3;39235,3;42892,2;46005,4;46815,3;53345,3;60426,5
Türkiye;719726,6;707000,8;777042,3;785618,9;760497,1;658963,4;679135,8;626785,3;690246;862309,6
Kosovo (under United Nations Security Council Resolution 1244/99);5071,3;5325,1;5674,4;6037,3;6356,5;6671,5;7056,2;6771,6;7957,9;8954,9
