TIME;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
GEO (Labels);;;;;;;;;;
European Union - 27 countries (from 2020);11516038,90;11782469,90;12215676,80;12548225,20;13075598,00;13534230,10;14019590,60;13469533,30;14582979,60;15844247,70
European Union - 28 countries (2013-2020);13612376,90;14093550,20;14860393,20;14982344,40;15435387,90;15955127,40;16546205,80;:;:;:
European Union - 15 countries (1995-2004);12519229,60;12965036,90;13667382,60;13763036,30;14106517,00;14522983,50;15012133,00;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);9878140,90;10133262,60;10523622,50;10816813,40;11224918,00;11600154,40;11987140,70;11465225,60;12359895,30;13360337,40
Euro area – 20 countries (from 2023);9980408,80;10213833,00;10568880,50;10864152,10;11274903,90;11652901,60;12042785,10;11515676,50;12418186,30;13427276,40
Euro area - 19 countries  (2015-2022);9935971,70;10169843,90;10523622,50;10816813,40;11224918,00;11600154,40;11987140,70;11465225,60;12359895,30;13360337,40
Euro area - 12 countries (2001-2006);9722298,30;9949365,80;10294153,80;10579540,90;10971893,40;11329084,40;11699122,00;11181964,20;12047042,60;13007564,10
Belgium;392880,00;403003,30;416701,40;430085,30;445050,10;460050,80;478676,10;459827,40;502521,10;549456,20
Bulgaria;42050,20;43026,00;45812,30;48773,10;52531,30;56224,80;61558,50;61638,90;71077,00;84560,60
Czechia;159461,50;157821,30;169558,20;177438,50;194132,90;210970,50;225613,50;215805,40;238249,50;276229,40
Denmark;258742,70;265757,00;273017,60;283109,70;294808,20;302328,70;309526,40;311356,30;342961,70;380617,80
Germany;2811350,00;2927430,00;3026180,00;3134740,00;3267160,00;3365450,00;3474110,00;3403730,00;3617450,00;3876810,00
Estonia;18910,80;20048,20;20631,40;21747,90;23833,60;25932,20;27951,00;27430,00;31169,00;36011,10
Ireland;179285,60;195469,90;263506,80;269724,80;298528,30;327441,40;356357,40;375249,60;434069,70;506282,40
Greece;179884,40;177236,00;176368,90;174494,20;176903,40;179557,70;183351,20;165405,90;181674,60;208030,20
Spain;1020677,00;1032608,00;1078092,00;1114420,00;1162492,00;1203859,00;1245513,00;1119010,00;1222290,00;1346377,00
France;2117189,00;2149765,00;2198432,00;2234129,00;2297242,00;2363306,00;2437635,00;2317832,00;2502118,00;2639092,00
Croatia;44437,10;43989,10;45257,90;47338,70;49985,90;52747,20;55644,40;50450,90;58290,90;66939,00
Italy;1612751,30;1627405,60;1655355,00;1695786,80;1736592,80;1771391,20;1796648,50;1661239,80;1822344,50;1946479,10
