Data extracted on 17/10/2023 20:30:05 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;GDP and main components (output, expenditure and income) [nama_10_gdp$defaultview];;;;;;;;;;;;;;;;;;;
Last updated: ;12/10/2023 11:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Unit of measure;;Current prices, million euro;;;;;;;;;;;;;;;;;;
National accounts indicator (ESA 2010);;Gross domestic product at market prices;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);11.516.038,9;;11.782.469,9;;12.215.676,8;;12.548.225,2;;13.075.598,0;;13.534.230,1;;14.019.590,6;;13.469.533,3;;14.582.979,6;;15.844.247,7;
European Union - 28 countries (2013-2020);13.612.376,9;;14.093.550,2;;14.860.393,2;;14.982.344,4;;15.435.387,9;;15.955.127,4;;16.546.205,8;;:;;:;;:;
European Union - 15 countries (1995-2004);12.519.229,6;;12.965.036,9;;13.667.382,6;;13.763.036,3;;14.106.517,0;;14.522.983,5;;15.012.133,0;;:;;:;;:;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);9.878.140,9;;10.133.262,6;;10.523.622,5;;10.816.813,4;;11.224.918,0;;11.600.154,4;;11.987.140,7;;11.465.225,6;;12.359.895,3;;13.360.337,4;
Euro area – 20 countries (from 2023);9.980.408,8;;10.213.833,0;;10.568.880,5;;10.864.152,1;;11.274.903,9;;11.652.901,6;;12.042.785,1;;11.515.676,5;;12.418.186,3;;13.427.276,4;
Euro area - 19 countries  (2015-2022);9.935.971,7;;10.169.843,9;;10.523.622,5;;10.816.813,4;;11.224.918,0;;11.600.154,4;;11.987.140,7;;11.465.225,6;;12.359.895,3;;13.360.337,4;
Euro area - 12 countries (2001-2006);9.722.298,3;;9.949.365,8;;10.294.153,8;;10.579.540,9;;10.971.893,4;;11.329.084,4;;11.699.122,0;;11.181.964,2;;12.047.042,6;;13.007.564,1;
Belgium;392.880,0;;403.003,3;;416.701,4;;430.085,3;;445.050,1;;460.050,8;;478.676,1;;459.827,4;p;502.521,1;p;549.456,2;p
Bulgaria;42.050,2;;43.026,0;;45.812,3;;48.773,1;;52.531,3;;56.224,8;;61.558,5;;61.638,9;;71.077,0;;84.560,6;p
Czechia;159.461,5;;157.821,3;;169.558,2;;177.438,5;;194.132,9;;210.970,5;;225.613,5;;215.805,4;;238.249,5;;276.229,4;
Denmark;258.742,7;;265.757,0;;273.017,6;;283.109,7;;294.808,2;;302.328,7;;309.526,4;;311.356,3;;342.961,7;;380.617,8;
