NOx;2019;2020
Belgium;158,542;139,238
Bulgaria;91,587;86,581
Czechia;173,719;156,396
Denmark;96,648;89,391
Germany;1,107,200;975,646
Estonia;25,496;23,238
Ireland;104,218;96,299
Greece;249,825;222,012
Spain;679,237;599,356
France;849,189;736,594
Croatia;48,527;45,809
Italy;661,666;596,349
Cyprus;14,336;11,592
Latvia;35,469;32,862
Lithuania;54,882;52,674
Luxembourg;19,269;15,199
Hungary;115,422;107,744
Malta;4,660;4,148
Netherlands;238,479;215,630
Austria;145,775;124,467
Poland;641,420;605,380
Portugal;155,064;135,262
Romania;218,293;205,009
Slovenia;29,575;25,529
Slovakia;58,818;56,003
Finland;120,244;105,614
Sweden;125,419;116,695
Iceland;19,568;17,936
Liechtenstein;261;238
Norway;155,463;146,058
Switzerland;60,830;52,633
Türkiye;974,217;957,073
