TIME;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);22.450;;22.900;;23.100;;23.210;;23.710;;24.070;;24.820;;25.510;;25.590;;24.410;;24.900;;25.330;;25.110;;25.060;;25.430;;25.960;;26.410;;27.110;;27.620;;28.060;;26.450;;28.050;;28.950;
European Union - 28 countries (2013-2020);22.990;;23.470;;23.710;;23.930;;24.430;;24.830;;25.570;;26.230;;26.250;;25.040;;25.520;;25.910;;25.750;;25.770;;26.180;;26.710;;27.140;;27.800;;28.270;;28.690;;:;;:;;:;
Euro area – 20 countries (from 2023);26.240;;26.740;;26.850;;26.890;;27.360;;27.670;;28.440;;29.140;;29.120;;27.720;;28.240;;28.640;;28.330;;28.220;;28.560;;29.060;;29.510;;30.220;;30.690;;31.080;;29.150;;30.880;;31.790;
Euro area - 19 countries  (2015-2022);26.490;;26.980;;27.090;;27.120;;27.590;;27.900;;28.670;;29.370;;29.340;;27.930;;28.460;;28.870;;28.560;;28.440;;28.790;;29.290;;29.740;;30.450;;30.910;;31.300;;29.360;;31.080;;31.990;
Belgium;29.890;;30.120;;30.490;;30.680;;31.640;;32.200;;32.800;;33.760;;33.640;;32.700;;33.330;;33.460;;33.490;;33.490;;33.870;;34.360;;34.620;;35.040;;35.510;;36.110;;34.050;;36.230;;37.040;p
Bulgaria;2.990;;3.210;;3.420;;3.620;;3.870;;4.170;;4.480;;4.800;;5.120;;4.970;;5.080;;5.320;;5.390;;5.390;;5.470;;5.700;;5.910;;6.120;;6.330;;6.630;;6.400;;6.950;;7.680;b
Czechia;11.230;;11.620;;11.830;;12.260;;12.840;;13.650;;14.530;;15.250;;15.500;;14.690;;15.020;;15.310;;15.170;;15.160;;15.480;;16.290;;16.670;;17.490;;17.990;;18.460;;17.400;;18.020;;18.460;
Denmark;42.190;;42.390;;42.430;;42.490;;43.520;;44.400;;45.990;;46.210;;45.700;;43.220;;43.840;;44.240;;44.170;;44.410;;44.890;;45.630;;46.720;;47.740;;48.450;;48.970;;47.680;;50.740;;51.660;
Germany;28.910;;29.370;;29.290;;29.100;;29.470;;29.730;;30.930;;31.920;;32.320;;30.580;;31.940;;33.200;;33.280;;33.330;;33.920;;34.130;;34.610;;35.410;;35.650;;35.950;p;34.550;p;35.630;p;36.010;p
Estonia;7.540;;8.040;;8.640;;9.350;;10.050;;11.070;;12.230;;13.230;;12.590;;10.770;;11.060;;11.890;;12.320;;12.540;;12.960;;13.230;;13.620;;14.410;;14.920;;15.450;;15.260;;16.350;;16.250;
Ireland;33.280;;34.510;;35.910;;36.390;;38.190;;39.480;;40.390;;41.270;;38.580;;36.270;;36.710;;37.030;;36.830;;37.080;;40.070;;49.420;;49.730;;53.750;;57.610;;59.840;;63.120;;72.110;;77.430;
Greece;17.430;;18.050;;18.690;;19.730;;20.670;;20.740;;21.840;;22.500;;22.370;;21.350;;20.150;b;18.130;;16.940;;16.630;;16.830;;16.900;;16.890;;17.110;;17.430;;17.780;;16.150;;17.600;p;18.710;p
